id,value
0,17938
1,99263
2,22945
3,16857
4,24522
5,30689
6,46543
7,80495
8,57525
9,8159
10,59098
11,59943
12,15571
13,90900
14,60610
15,45449
16,35269
17,5351
18,2045
19,97294
20,93648
21,11187
22,46280
23,35536
24,14998
25,95278
26,4616
27,21816
28,81503
29,75152
30,69008
31,18699
32,8090
33,52179
34,72752
35,84822
36,31097
37,66540
38,3090
39,39980
40,77613
41,70976
42,58050
43,13287
44,27796
45,58374
46,86806
47,69670
48,55960
49,49450
50,77940
51,95238
52,37939
53,71094
54,63211
55,10398
56,41970
57,33380
58,85781
59,71146
60,78280
61,43841
62,41339
63,13553
64,68577
65,81250
66,38121
67,94226
68,10831
69,88015
70,37596
71,80432
72,56976
73,30197
74,31402
75,47527
76,91618
77,17259
78,82094
79,48502
80,98339
81,69818
82,5374
83,30707
84,26859
85,73008
86,99698
87,88158
88,29097
89,55491
90,35470
91,54387
92,15095
93,89734
94,559
95,60385
96,90787
97,17838
98,61425
99,4960
100,78769
101,69045
102,39885
103,10702
104,90502
105,49982
106,24398
107,67764
108,13793
109,56759
110,31720
111,99780
112,2943
113,79237
114,9857
115,21502
116,10593
117,42111
118,26508
119,96131
120,80096
121,54858
122,18498
123,41791
124,25165
125,23219
126,87189
127,81250
128,59544
129,8512
130,12468
131,76744
132,3659
133,7963
134,23605
135,42608
136,87443
137,69099
138,9148
139,82475
140,88987
141,44406
142,69981
143,54880
144,97155
145,38559
146,19767
147,31400
148,62999
149,99908
150,15239
151,74807
152,9581
153,60323
154,55115
155,31251
156,2714
157,33060
158,20925
159,75
160,46182
161,37025
162,45611
163,17670
164,54145
165,27597
166,86490
167,67602
168,70728
169,79142
170,48008
171,8291
172,52216
173,82411
174,46722
175,91630
176,772
177,91177
178,35982
179,31187
180,40307
181,76827
182,11072
183,67011
184,54877
185,27041
186,96881
187,65585
188,67912
189,55251
190,79641
191,88065
192,26604
193,71279
194,81904
195,57729
196,69960
197,370
198,95607
199,58421
200,1282
201,27761
202,81963
203,99787
204,56288
205,89010
206,18849
207,92219
208,56571
209,22496
210,26504
211,84696
212,64801
213,49811
214,30526
215,32063
216,12837
217,52208
218,27546
219,74823
220,56815
221,66857
222,3395
223,34120
224,24352
225,35302
226,16210
227,47352
228,58116
229,98398
230,97617
231,95758
232,27340
233,46876
234,43999
235,4268
236,74245
237,4810
238,66824
239,26108
240,85875
241,44411
242,46093
243,59839
244,33519
245,4920
246,84213
247,84937
248,1657
249,15780
250,88931
251,43489
252,36310
253,4865
254,23433
255,40238
256,78673
257,6221
258,49342
259,80944
260,14097
261,68586
262,54022
263,19912
264,58765
265,5909
266,97489
267,41550
268,26803
269,24140
270,36175
271,57937
272,69122
273,4774
274,80893
275,64645
276,51938
277,24930
278,24592
279,60424
280,47696
281,46196
282,31804
283,2887
284,44055
285,10032
286,16191
287,41932
288,37584
289,36232
290,45184
291,45415
292,68048
293,32727
294,1424
295,7453
296,66365
297,89999
298,99567
299,8747
300,34796
301,51397
302,3996
303,80442
304,51427
305,21869
306,18061
307,8294
308,92668
309,1926
310,18720
311,2291
312,97290
313,11102
314,91759
315,48390
316,53418
317,95733
318,82297
319,53636
320,75942
321,99575
322,12823
323,93723
324,55968
325,12598
326,36775
327,72884
328,6206
329,3229
330,89509
331,10059
332,96614
333,82394
334,70455
335,72358
336,73151
337,43884
338,40399
339,87150
340,79145
341,74901
342,46009
343,77440
344,53566
345,33073
346,90099
347,81718
348,63422
349,41806
350,50583
351,39115
352,38505
353,64507
354,13679
355,43400
356,15902
357,80059
358,27635
359,95297
360,68933
361,96846
362,2110
363,11552
364,90647
365,10707
366,75293
367,81333
368,25470
369,33387
370,45976
371,95802
372,94320
373,92357
374,20978
375,15068
376,38264
377,30335
378,59708
379,78231
380,13685
381,13401
382,7078
383,6876
384,8004
385,90272
386,93632
387,95
388,9128
389,32152
390,47423
391,70035
392,54083
393,22486
394,6067
395,20948
396,2726
397,59023
398,39333
399,31836
400,30934
401,76793
402,92764
403,63091
404,14351
405,99899
406,41010
407,70829
408,78549
409,82490
410,95937
411,79209
412,24360
413,4829
414,49022
415,30581
416,98205
417,49075
418,40152
419,6105
420,66357
421,91195
422,35670
423,85353
424,69404
425,10395
426,67352
427,92406
428,78563
429,35489
430,30980
431,58072
432,49041
433,18841
434,68265
435,13152
436,67295
437,52835
438,59100
439,15994
440,18828
